groupflag,mathperson1,mathperson2,mathperson3,mathperson4,dislikemathclass,pursuestem,boysbetter,learnrace,racegroups,knowrace,connectrace1,affectrace,proudrace,mixrace,unclearrace,connectrace2,dontknowrace,belongrace,understandrace,talkrace,priderace,avoidrace,practicerace,playotherrace,strongrace,enjoyotherrace,feelrace,racediscrimination,academicability_peers,mathability_peers,activities,deciderules,makeadiff,adultcares,adultnotices,adultlistens,adultpraise,adultmybest,adultmysuccess,mtchmematter,mtchlowerstandards,mtchraceexpect,mtchtalkrace,mtchignorerace,mtchvalues,mtchrespect,mtchfair,mtchsuccess,mtchmistakesok,mtchbiased,mtchmadeinteresting,mtchgenderbias,mtchmadeeasy,mtchrace,mtchrace2,mtchgender,mathcourse,mathnoadv,mathbad,mathpersistence,mathboring,mathgrades,mathimpt,peerbelief,mtchbelief,mtchdiscriminate,stereotype_asian,stereotype_white,stereotype_latino,stereotype_black,school_asian,school_white,school_latino,school_black,closerace,belongrace,raceidentity,raceaffects,raceproud,racehappy,raceunhappy,raceaffects2,racefriends,myracegood,age,sex,race,primarylanguage,primarylanguage1,flag_birthplace,flag_birthplace_text,gradelevel,collegetype,highesteducation,mothereducation
1,3,2,2,2,1,4,1,1,1,2,2,1,3,1,2,1,3,1,1,2,2,1,2,4,2,3,3,1,3,3,2,1,2,3,2,3,3,2,3,1,1,1,3,2,4,4,4,4,4,1,3,1,3,7,Mixed race: Hispanic/Asian,1,MATH 1: Pre-Calculus,1,1,2,2,2,4,2,1,1,1,2,3,3,2,2,2,2,2,2,1,1,1,2,1,2,1,3,18,2,7,1,,1,,6,2,5,6
1,3,3,3,3,1,2,1,2,2,2,2,1,4,1,1,2,1,2,3,3,2,1,4,2,3,3,4,2,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,3,1,3,6,,1,,1,1,2,1,4,2,1,1,1,1,2,2,2,1,2,2,2,3,2,1,1,2,4,1,1,1,2,21,2,6,3,Arabic,1,,7,2,5,1
1,4,4,4,4,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,4,4,,,,,,,,,,,,,4,,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,3,1,1,1,1,1,4,3,4,1,4,1,2,4,2,2,3,1,4,1,2,4,3,4,4,4,3,3,1,1,3,4,4,4,4,4,4,1,1,1,1,3,4,4,4,4,4,1,4,1,3,3,,1,,1,1,2,2,3,3,1,1,1,1,2,3,3,1,1,1,1,1,1,3,4,4,4,1,1,1,3,27,2,4,1,,2,mexico,6,2,5,1
1,2,2,2,2,1,1,1,3,1,4,4,4,4,1,1,4,1,4,4,3,4,1,4,4,4,4,4,4,3,3,4,2,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,4,1,4,2,,2,,1,1,4,1,4,4,4,1,1,1,2,3,3,1,1,1,1,4,4,4,4,4,4,1,3,2,4,,2,3,1,,1,,6,2,1,4
1,1,1,1,1,3,2,1,2,2,3,4,4,4,1,1,4,1,4,4,4,4,1,4,4,4,4,4,4,3,4,2,4,4,3,3,3,3,3,3,1,1,1,2,1,4,4,4,4,4,1,2,1,2,4,,1,Math 203,3,4,1,2,1,2,2,4,4,1,2,3,3,2,2,2,2,2,2,2,2,3,3,1,2,1,2,19,2,1,1,,1,,6,2,4,4
1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,3,1,4,4,4,4,4,1,4,1,4,4,,2,Math 201,1,1,4,1,4,4,3,3,3,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,29,2,4,1,,2,Mexico,6,2,2,9
1,2,2,2,2,1,1,2,4,3,4,2,4,4,4,1,1,1,4,4,4,4,1,4,2,4,2,4,4,3,3,2,1,3,1,1,4,3,3,3,1,1,1,1,1,4,4,4,4,4,1,3,1,4,4,,1,Intermediate Algebra ,2,1,3,1,3,3,1,1,1,1,2,3,3,2,2,2,2,4,4,4,4,4,4,1,4,4,4,25,2,3,1,,1,,7,2,1,6
1,2,2,2,2,3,1,1,2,1,2,4,4,2,1,2,4,2,2,2,2,1,1,1,4,1,4,1,1,2,3,1,1,2,1,1,3,1,2,2,4,1,1,4,1,4,4,4,4,4,1,4,1,4,4,,1,math203,2,1,3,2,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,4,2,1,4,4,2,3,23,2,6,1,,1,,6,2,4,9
1,2,2,2,3,2,1,1,2,2,3,3,1,4,1,1,3,2,4,4,2,4,1,3,2,3,4,4,1,3,3,2,2,2,3,3,3,3,3,3,1,1,1,3,1,4,4,,4,4,2,3,2,4,6,,2,Math 565 3703,2,2,2,2,3,4,2,3,2,1,4,3,4,2,2,2,2,3,3,2,2,4,4,1,2,2,2,24,2,4,2,,1,,8,3,4,1
1,2,2,3,3,4,4,1,2,3,4,4,1,3,1,4,4,1,4,4,4,4,1,,3,3,4,3,4,2,2,4,3,3,3,3,3,3,3,3,3,1,1,3,1,4,4,4,4,4,2,3,1,3,7,Russian/Jewish,2,Math 565 F2017,3,3,3,3,2,3,2,2,1,1,1,2,2,1,1,2,2,4,1,2,2,4,3,1,1,1,4,24,2,6,3,Russian ,2,Isreal ,7,,3,5
1,4,4,4,4,2,4,2,2,3,3,4,1,3,1,2,3,3,2,2,2,2,1,2,3,2,3,2,1,2,1,4,2,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,2,4,1,3,6,,1,MATH 3000:  History of Mathematics; MATH 3700:  Discrete Mathematics,1,1,3,1,3,4,3,2,1,2,3,3,3,2,2,2,2,2,2,1,1,2,2,2,1,1,3,18,2,4,1,,1,,6,3,5,8
1,2,3,2,2,1,1,2,3,2,2,4,2,4,1,2,4,1,3,3,3,3,1,4,4,3,4,4,2,3,3,1,1,2,2,2,3,3,3,3,1,1,1,3,3,4,4,4,4,4,1,4,1,4,6,,2,Math 565,2,1,2,1,4,4,3,1,1,2,1,2,2,2,2,2,2,3,2,3,1,3,4,1,2,1,3,21,2,1,1,,1,,8,3,5,1
1,4,2,3,1,1,2,1,4,3,4,4,4,4,1,1,2,1,4,4,4,4,1,4,4,4,4,4,4,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,1,4,1,3,6,,2,"MATH 3320: Intro to Cryptography, MATH 3700: Discrete Mathematics",1,1,4,1,4,4,4,4,1,1,2,3,3,2,2,2,2,4,4,4,4,4,4,1,4,4,1,21,3,1,1,,2,Australia,8,3,5,6
1,4,4,4,4,1,4,2,2,2,2,3,1,3,1,2,3,3,3,2,1,3,1,2,3,1,3,2,3,1,1,4,2,3,3,4,4,4,4,4,1,1,1,1,1,3,4,4,4,4,1,3,1,3,6,,1,Math 3300 Abstract Algebra,1,1,4,1,3,4,4,4,2,1,3,3,3,1,1,2,2,3,2,1,1,3,2,1,1,1,2,20,2,6,1,,1,,7,3,5,6
1,4,4,4,4,1,3,1,2,3,1,4,2,3,1,3,3,3,1,1,2,2,1,3,3,1,4,3,1,2,2,3,1,3,3,3,3,2,3,3,1,1,1,2,1,3,4,4,4,4,1,4,1,4,6,,2,MATH 3000-01 History of Math,1,1,3,2,4,4,2,1,1,1,2,3,3,2,2,2,2,1,1,1,2,2,2,1,1,1,2,21,2,6,1,,1,,8,3,4,6
1,4,4,4,4,1,4,2,1,1,2,3,1,3,1,3,3,4,1,2,1,1,1,2,4,1,4,2,1,2,1,4,2,2,2,3,4,3,3,4,1,1,1,1,1,3,3,4,4,4,3,4,2,2,6,,1,Math 6100: Theory of Functions of a Real Variable,1,1,2,2,3,3,1,1,1,2,3,3,3,2,2,2,2,3,2,1,1,1,2,1,1,1,2,20,1,6,1,,1,,7,3,5,6
1,2,4,3,3,2,4,1,4,4,4,3,4,4,1,1,2,1,4,3,4,4,1,3,3,4,3,4,4,2,2,3,2,3,4,3,4,4,4,4,3,2,1,1,1,2,4,4,3,2,2,2,1,2,6,,1,"Math 3210 (Transformation Geometry), Math 3000 (History of Math),  Math 3800 (Theory of Numbers)",2,1,4,1,3,4,4,4,4,1,2,4,4,1,2,2,2,4,3,4,4,4,4,1,3,2,2,20,2,3,1,,1,,7,3,5,9
1,2,4,2,1,1,3,2,3,1,3,4,3,3,1,1,4,1,2,3,4,2,1,3,3,3,4,3,1,1,2,3,2,3,3,3,3,3,4,4,1,1,1,2,1,3,4,4,4,4,1,4,1,4,1,,1,,2,2,3,1,3,4,4,4,1,2,2,3,3,2,2,2,2,2,2,2,3,2,2,1,2,3,1,21,2,6,1,,2,Ukraine,8,3,5,8
1,3,4,4,4,2,4,1,2,3,3,2,2,3,1,2,4,3,3,2,4,3,2,2,3,3,2,2,4,2,2,3,2,1,2,3,4,2,2,2,1,1,1,1,1,3,4,4,4,,1,1,1,1,1,,2,,2,1,2,2,4,3,1,1,1,1,2,3,3,1,1,1,1,3,3,3,2,3,3,1,2,2,3,20,1,1,1,,2,China,7,3,4,6
